date,year_num,state,state_year,piped_water,sanitation,electricity
2016-01-01,2016,Johor,Johor-2016,99.9,99.99,100.0
2016-01-01,2016,Kedah,Kedah-2016,98.7,99.98,100.0
2016-01-01,2016,Kelantan,Kelantan-2016,65.4,99.67,100.0
2016-01-01,2016,Kuala Lumpur,Kuala Lumpur-2016,100.0,100.0,100.0
2016-01-01,2016,Labuan,Labuan-2016,98.5,99.6,100.0
2016-01-01,2016,Melaka,Melaka-2016,100.0,99.92,100.0
2016-01-01,2016,Negeri Sembilan,Negeri Sembilan-2016,99.9,99.98,100.0
2016-01-01,2016,Pahang,Pahang-2016,97.8,99.75,100.0
2016-01-01,2016,Perak,Perak-2016,99.4,99.97,100.0
2016-01-01,2016,Perlis,Perlis-2016,99.6,99.85,100.0
2016-01-01,2016,Pulau Pinang,Pulau Pinang-2016,99.9,100.0,100.0
2016-01-01,2016,Putrajaya,Putrajaya-2016,100.0,100.0,100.0
2016-01-01,2016,Sabah,Sabah-2016,83.4,96.14,99.5
2016-01-01,2016,Sarawak,Sarawak-2016,86.0,99.66,99.6
2016-01-01,2016,Selangor,Selangor-2016,100.0,100.0,100.0
2016-01-01,2016,Terengganu,Terengganu-2016,96.0,99.96,100.0
2019-01-01,2019,Johor,Johor-2019,99.9,99.9,100.0
2019-01-01,2019,Kedah,Kedah-2019,99.5,100.0,100.0
2019-01-01,2019,Kelantan,Kelantan-2019,67.9,100.0,100.0
2019-01-01,2019,Kuala Lumpur,Kuala Lumpur-2019,100.0,100.0,100.0
2019-01-01,2019,Labuan,Labuan-2019,100.0,99.26,100.0
2019-01-01,2019,Melaka,Melaka-2019,100.0,100.0,100.0
2019-01-01,2019,Negeri Sembilan,Negeri Sembilan-2019,99.9,100.0,100.0
2019-01-01,2019,Pahang,Pahang-2019,97.9,99.98,100.0
2019-01-01,2019,Perak,Perak-2019,99.4,99.99,100.0
2019-01-01,2019,Perlis,Perlis-2019,99.6,100.0,100.0
2019-01-01,2019,Pulau Pinang,Pulau Pinang-2019,99.9,99.95,100.0
2019-01-01,2019,Putrajaya,Putrajaya-2019,100.0,100.0,100.0
2019-01-01,2019,Sabah,Sabah-2019,84.7,95.61,99.7
2019-01-01,2019,Sarawak,Sarawak-2019,86.4,99.73,99.8
2019-01-01,2019,Selangor,Selangor-2019,100.0,100.0,100.0
2019-01-01,2019,Terengganu,Terengganu-2019,96.2,100.0,100.0
2022-01-01,2022,Johor,Johor-2022,99.6,100.0,99.6
2022-01-01,2022,Kedah,Kedah-2022,99.6,100.0,99.6
2022-01-01,2022,Kelantan,Kelantan-2022,70.2,99.8,70.2
2022-01-01,2022,Kuala Lumpur,Kuala Lumpur-2022,100.0,100.0,100.0
2022-01-01,2022,Labuan,Labuan-2022,100.0,100.0,100.0
2022-01-01,2022,Melaka,Melaka-2022,100.0,100.0,100.0
2022-01-01,2022,Negeri Sembilan,Negeri Sembilan-2022,99.8,100.0,99.8
2022-01-01,2022,Pahang,Pahang-2022,98.3,99.4,98.3
2022-01-01,2022,Perak,Perak-2022,99.2,100.0,99.2
2022-01-01,2022,Perlis,Perlis-2022,100.0,100.0,100.0
2022-01-01,2022,Pulau Pinang,Pulau Pinang-2022,100.0,100.0,100.0
2022-01-01,2022,Putrajaya,Putrajaya-2022,100.0,100.0,100.0
2022-01-01,2022,Sabah,Sabah-2022,87.6,98.8,87.6
2022-01-01,2022,Sarawak,Sarawak-2022,90.0,100.0,90.0
2022-01-01,2022,Selangor,Selangor-2022,100.0,100.0,100.0
2022-01-01,2022,Terengganu,Terengganu-2022,98.5,100.0,98.5
